Jul 06 16:18:13 vps python3[62025]: 2026-07-06 16:18:13,302 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$141 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:23:22 vps python3[62025]: 2026-07-06 16:23:22,561 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$141 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:28:29 vps python3[62025]: 2026-07-06 16:28:29,570 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:33:31 vps python3[62025]: 2026-07-06 16:33:31,793 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:38:38 vps python3[62025]: 2026-07-06 16:38:38,140 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:43:44 vps python3[62025]: 2026-07-06 16:43:44,418 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:48:53 vps python3[62025]: 2026-07-06 16:48:53,445 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:54:08 vps python3[62025]: 2026-07-06 16:54:08,196 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:59:21 vps python3[62025]: 2026-07-06 16:59:21,589 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 17:02:05 vps python3[62025]: 2026-07-06 17:02:05,452 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=9698931176277489 side=BUY price=0.99 size=101.0101 status=MINED trader_side=MAKER — no tracker entry, no open position
Jul 06 17:02:10 vps python3[62025]: 2026-07-06 17:02:10,505 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=9698931176277489 side=BUY price=0.99 size=101.0101 status=CONFIRMED trader_side=MAKER — no tracker entry, no open position
Jul 06 17:04:35 vps python3[62025]: 2026-07-06 17:04:35,574 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$139 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 07 00:00:04 vps python3[195955]: 2026-07-07 00:00:04,983 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=3426546745313838 side=BUY price=0.37 size=56 status=MATCHED trader_side=TAKER — no tracker entry, no open position
Jul 07 00:00:07 vps python3[195955]: 2026-07-07 00:00:07,048 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=3426546745313838 side=BUY price=0.37 size=56 status=MINED trader_side=TAKER — no tracker entry, no open position
Jul 07 00:00:12 vps python3[195955]: 2026-07-07 00:00:12,149 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=3426546745313838 side=BUY price=0.37 size=56 status=CONFIRMED trader_side=TAKER — no tracker entry, no open position
Jul 07 02:00:12 vps python3[195955]: 2026-07-07 02:00:12,849 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=2527016606723487 side=BUY price=0.46 size=94.75 status=MATCHED trader_side=TAKER — no tracker entry, no open position
Jul 07 02:00:15 vps python3[195955]: 2026-07-07 02:00:15,074 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=2527016606723487 side=BUY price=0.46 size=94.75 status=MINED trader_side=TAKER — no tracker entry, no open position
Jul 07 02:00:21 vps python3[195955]: 2026-07-07 02:00:21,248 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=2527016606723487 side=BUY price=0.46 size=94.75 status=CONFIRMED trader_side=TAKER — no tracker entry, no open position
Jul 08 01:00:15 vps python3[274925]: 2026-07-08 01:00:15,685 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5176413527049596 side=BUY price=0.38 size=18 status=MATCHED trader_side=TAKER — no tracker entry, no open position
Jul 08 01:00:17 vps python3[274925]: 2026-07-08 01:00:17,770 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5176413527049596 side=BUY price=0.38 size=18 status=MINED trader_side=TAKER — no tracker entry, no open position
